what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454485706518
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454485723390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454485724181
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454485725194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486420941
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486443826
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486456156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486483433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486483964
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486485314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486505407
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486512272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486669938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486681692
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486685071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486694481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486695224
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486894895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486896914
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486898566
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454486912628
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1454486915987
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1454486916092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486934012
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454486940834
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454486943454
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1454486943454
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454486946132
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487213684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487222533
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454487222581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487327987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487334770
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487335374
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487336532
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487339208
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487552768
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454487555263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487556891
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1454487558674
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1454487558734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487559578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1454487559594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454487562591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454488853516
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454488865528
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454488867373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454949098910
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1454949098972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454949099563
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454949101259
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454949103798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455535706534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455535707491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455535709118
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455535712233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455535739582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455535740357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455670908313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455670917452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1455673151787
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1455933348801
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1455933348802
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1455933348803
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1455933348804
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1455933348805
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1455933348850
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1455933348851
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1455933348852
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1455933348853
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1455933348854
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1455933348870
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1455933348870
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1455933348871
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1455933348872
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1455933348873
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1455933348873
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1455933348873
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1455933348874
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1455933348874
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1455933348875
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1455933348876
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1455933348876
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1455933348877
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1455933348878
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1455933348879
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1455933348880
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1455933348880
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1455933348881
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1455933348881
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1455933348882
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1455933348883
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1455933348884
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1455933349070
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1455933349071
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1455933349078
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1455933349079
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1455933349080
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1455933349081
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1455933349082
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1455933349188
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1455933349189
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1455933349190
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1455933349190
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1455933349191
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1455933349191
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.4.v20111106-0100,"org.eclipse.mylyn.bugzilla.core",1455933349192
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1455933349193
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1455933349194
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1455933349194
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1455933349195
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1455933349196
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1455933349196
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1455933349197
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1455933349237
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1455933349239
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1455933349300
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1455933349356
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1455933349357
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1455933349358
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1455933349452
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1455933349453
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1455933349527
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1455933349567
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1455933349568
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1455933349605
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1455933349606
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1455933349667
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1455933349667
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1455933349668
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1455933349669
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1455933349669
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1455933349703
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1455933349704
os,sysinfo,,,"win32",1455933349706
arch,sysinfo,,,"x86",1455933349706
ws,sysinfo,,,"win32",1455933349706
locale,sysinfo,,,"zh_CN",1455933349706
processors,sysinfo,,,"4",1455933349706
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1455933349706
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1455933349706
java.specification.name,sysinfo,,,"Java Platform API Specification",1455933349706
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455933349706
java.specification.version,sysinfo,,,"1.6",1455933349706
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1455933349706
java.version,sysinfo,,,"1.6.0_23",1455933349706
java.vm.info,sysinfo,,,"mixed mode, sharing",1455933349706
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1455933349706
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455933349706
