what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1454396436147
started,bundle,org.eclipse.team.svn.ui,0.7.9.I20110819-1700,"org.eclipse.team.svn.ui",1454396436148
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1454396436149
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1454396436150
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1454396436150
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1454396436151
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1454396436152
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1454396436153
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1454396436157
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1454396436158
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1454396436158
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1454396436159
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1454396436159
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1454396436160
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1454396436161
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1454396436162
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1454396436163
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1454396436163
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1454396436164
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1454396436164
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1454396436165
started,bundle,org.eclipse.wst.common.frameworks,1.2.101.v201107192200,"org.eclipse.wst.common.frameworks",1454396436165
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1454396436165
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1454396436166
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.javahl16",1454396436166
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1454396436166
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1454396436166
os,sysinfo,,,"win32",1454396436169
arch,sysinfo,,,"x86",1454396436169
ws,sysinfo,,,"win32",1454396436169
locale,sysinfo,,,"zh_CN",1454396436169
processors,sysinfo,,,"4",1454396436169
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1454396436169
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1454396436169
java.specification.name,sysinfo,,,"Java Platform API Specification",1454396436169
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454396436169
java.specification.version,sysinfo,,,"1.6",1454396436169
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1454396436169
java.version,sysinfo,,,"1.6.0_23",1454396436169
java.vm.info,sysinfo,,,"mixed mode, sharing",1454396436169
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1454396436169
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1454396436169
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1454396436169
java.vm.specification.version,sysinfo,,,"1.0",1454396436169
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1454396436169
java.vm.version,sysinfo,,,"19.0-b09",1454396436169
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1454396436172
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1454396436895
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1454396439822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1454396439841
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1454396439881
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1454396444200
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1454396444202
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1454396444205
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454396444235
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1454396444297
opened,view,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1454396444635
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1454396444674
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1454396444679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1454396444747
executed,command,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1454396444747
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454396445483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454396461324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454396473329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454396493413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454396513576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1454396517449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454396523852
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1454396542747
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1454396542788
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1454396546292
