what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1454399661730
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1454399665377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454399666075
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454400846727
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1454400848326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1454400848684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454400849321
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454401765205
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454401765267
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454401767322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454401767471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454401768673
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454401768705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454401770393
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1454401770563
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454401770563
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454401772183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1454401775795
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454401777919
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454401777977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1454401781107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454401782238
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454403916368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454403920543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405427972
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454405429028
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405429653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1454405430694
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405431607
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1454405431624
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454405431984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405432262
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405439690
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1454405441464
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405449015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405451397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405455010
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405489370
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454405492508
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1454406322940
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.closeProject",1454406326279
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1454406327039
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1454406327532
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1454406327665
